start
| epoch   2 |  5900/17578 batches | lr 2.00000 | ms/batch 409.00 | loss 0.006 | bpc 0.008
| epoch   2 |  6000/17578 batches | lr 2.00000 | ms/batch 408.23 | loss 0.005 | bpc 0.008
| epoch   2 |  6100/17578 batches | lr 2.00000 | ms/batch 409.29 | loss 0.006 | bpc 0.008
| epoch   2 |  6200/17578 batches | lr 2.00000 | ms/batch 409.83 | loss 0.005 | bpc 0.008
| epoch   2 |  6300/17578 batches | lr 2.00000 | ms/batch 410.38 | loss 0.006 | bpc 0.008
| epoch   2 |  6400/17578 batches | lr 2.00000 | ms/batch 407.82 | loss 0.006 | bpc 0.008
| epoch   2 |  6500/17578 batches | lr 2.00000 | ms/batch 408.43 | loss 0.005 | bpc 0.008
| epoch   2 |  6600/17578 batches | lr 2.00000 | ms/batch 410.02 | loss 0.005 | bpc 0.008
| epoch   2 |  6700/17578 batches | lr 2.00000 | ms/batch 409.53 | loss 0.005 | bpc 0.008
| epoch   2 |  6800/17578 batches | lr 2.00000 | ms/batch 408.32 | loss 0.005 | bpc 0.008
| epoch   2 |  6900/17578 batches | lr 2.00000 | ms/batch 408.61 | loss 0.006 | bpc 0.008
| epoch   2 |  7000/17578 batches | lr 2.00000 | ms/batch 410.20 | loss 0.005 | bpc 0.008
| epoch   2 |  7100/17578 batches | lr 2.00000 | ms/batch 409.45 | loss 0.005 | bpc 0.008
| epoch   2 |  7200/17578 batches | lr 2.00000 | ms/batch 409.50 | loss 0.005 | bpc 0.008
| epoch   2 |  7300/17578 batches | lr 2.00000 | ms/batch 407.29 | loss 0.006 | bpc 0.008
| epoch   2 |  7400/17578 batches | lr 2.00000 | ms/batch 409.51 | loss 0.005 | bpc 0.008
| epoch   2 |  7500/17578 batches | lr 2.00000 | ms/batch 410.31 | loss 0.005 | bpc 0.008
| epoch   2 |  7600/17578 batches | lr 2.00000 | ms/batch 409.27 | loss 0.005 | bpc 0.008
| epoch   2 |  7700/17578 batches | lr 2.00000 | ms/batch 409.64 | loss 0.006 | bpc 0.008
| epoch   2 |  7800/17578 batches | lr 2.00000 | ms/batch 409.16 | loss 0.005 | bpc 0.008
| epoch   2 |  7900/17578 batches | lr 2.00000 | ms/batch 407.85 | loss 0.006 | bpc 0.008
| epoch   2 |  8000/17578 batches | lr 2.00000 | ms/batch 409.49 | loss 0.005 | bpc 0.008
| epoch   2 |  8100/17578 batches | lr 2.00000 | ms/batch 405.99 | loss 0.005 | bpc 0.007
| epoch   2 |  8200/17578 batches | lr 2.00000 | ms/batch 409.37 | loss 0.005 | bpc 0.008
